loan_amount,funded_amount,funded_amount_investors,installment,loan_status,total_payment,total_payment_investors,total_received_principal,total_received_interest,repay_fail
12000,12000,6449.997573,407.08,0,934.73,502.16,272,134.57,1
9000,9000,1825.015437,311.2,3,5599.98,1134.9,4003.84,1596.14,1
5000,5000,4925,168.74,0,551.6,543.31,228.97,107.77,1
8725,8725,8333.81,278.74,0,3900.91,3732.26,3089.09,789.61,1
25000,25000,300.0051736,830.84,3,19562.82,234.5,14920.9,4187.96,1
6800,6800,6800,221.5,0,4429.36,4429.36,3498.2,917.2,1
9000,9000,8825,296.75,0,6750.5,6619.13,5114.27,1397.87,1
18000,18000,17875,440.8,0,2967.07,2946.49,1005.12,1194.73,1
31000,31000,14999.9979,748.11,0,12759.15,6171.27,2877,3102.84,1
22800,22800,22775,569.96,0,18005.4,17985.75,7198.55,7049.56,1
10500,10500,10500,255.46,0,5314.29,5314.29,2465.48,2378.16,1
12000,12000,11741.34099,263.86,0,6050.65,5909.57,2201.91,1491.06,1
15000,15000,974.9942067,516.83,3,11581.62,751.9,7987.73,3093.86,1
6400,6400,6400,224.98,0,4191.41,4191.41,2475.42,1469.44,1
9600,9600,9600,255.42,0,9689.08,9689.08,4409.62,4530.08,1
25000,15350,14244.07378,502.47,0,13813.74,12465.02,10999.26,2567.24,1
14000,14000,13706.2877,346.59,0,11610.95,10988.46,5821.42,5321.47,1
6000,6000,5950,203.94,3,2047.59,2030.58,1276.79,554.08,1
8000,8000,8000,268.33,0,5019.13,5019.13,2745.96,994.84,1
5000,5000,5000,168.17,0,4749.89,4749.89,3714.84,990.56,1
7000,7000,6775,222.41,0,1066.54,1032.21,724.35,342.19,1
8500,8500,8318.139253,263,0,5251.4,5034.82,4490.09,761.31,1
20000,20000,19852.74958,656.07,0,17088.31,16920.95,13754.78,3300.75,1
35000,35000,34975,921.26,0,13693.42,13683.74,4978.93,6988.87,1
15000,15000,11563.21739,490.71,0,10141.16,9100.82,7719.9,2086.9,1
14000,14000,13926.76886,307.83,0,6463.45,6333.73,4001.22,2462.23,1
11000,11000,8609.620403,358,0,6447.71,3338.11,4641.1,1441.19,1
28000,28000,28000,943.3,0,20751.38,20751.38,15793.74,4941.48,1
9000,9000,9000,271.44,0,3104.77,3104.77,2348.75,359.25,1
3600,3600,3600,121.27,0,2638.64,2638.64,1926.54,616.35,1
7000,7000,7000,160.53,0,4494.67,4494.67,1833.28,1365.52,1
25500,25500,25500,912.58,0,12884.24,12884.24,7731.29,4120.94,1
10000,10000,6629.780342,320.95,0,8655.66,5169.85,7215.99,1439.67,1
2000,2000,2000,48.98,0,329.72,329.72,111.54,132.56,1
7500,7500,1249.997451,246.33,3,738.72,123,533.38,205.34,1
9000,5750,4360.681695,116.26,0,347.34,242.91,236.08,111.26,1
15000,15000,15000,496.14,0,6945,6945,5208.71,1722.55,1
12000,12000,11925,294.7,0,5348.9,5315.57,2627.01,2657.35,1
12225,12225,11175,307.06,0,6931.98,6336.2,4971.34,1543.07,1
10000,10000,10000,353.01,0,8711.61,8711.61,5809.4,2296.26,1
7200,7200,7200,238.15,0,7338.4,7338.4,5810.48,1323.62,1
2500,2500,2350,86.17,0,864.11,812.26,526.1,247.99,1
3000,3000,3000,98.92,0,860.62,860.62,356.89,136.51,1
5000,5000,4975,106.22,0,1422.54,1415.44,878.23,499.45,1
8550,8550,1174.995273,305.77,3,3972.15,544.7,2594.24,1377.91,1
21500,21500,21475,765.36,0,18691.79,18670.21,13278.29,5338.82,1
25000,25000,3428.7883,846.7,0,3384.96,767.2,2310.46,1074.5,1
9100,9100,1125,294.83,3,6599.67,814.6,5493.25,927.55,1
8500,8500,7975,259.25,0,5441.1,5104.89,4764.2,676.9,1
8000,8000,2785.3,268.48,3,6868.15,2375.88,5214.59,1482.16,1
19000,13500,13175,296.84,0,13403,13079.42,8845.87,3918.25,1
3600,3600,3600,88.32,0,594.31,594.31,200.36,239.79,1
12000,12000,11950,280.91,0,7865.48,7832.6,4544.13,3321.35,1
8000,8000,7914.771494,281.26,3,9080.33,8981.03,6821.64,2132.93,1
16000,16000,15226.15,549.57,0,6573.09,6538.44,4210.44,1834.13,1
20000,20000,19975,528.88,0,14234.29,14216.52,5461.61,6697.8,1
26500,18175,18150,441.89,0,5300.83,5293.6,2564.4,2724.3,1
8000,8000,1575.003782,262.26,0,2135.14,417.83,1353.01,479.57,1
9000,9000,8875,192.83,0,575.58,567.6,346.63,228.95,1
5000,5000,5000,155.51,0,4251.47,4251.47,3477.49,543.15,1
25000,25000,2550.009713,851.41,0,7661.88,781.02,5323.38,2338.5,1
17800,17800,17800,391.38,0,7044.46,7044.46,4306.91,2720.11,1
8400,8400,8232.403109,290.54,0,8253.72,8080.33,3546.79,1682.26,1
2500,2500,2500,87.08,0,1630,1630,1106.96,459.04,1
16000,16000,15975,405.26,0,14677.21,14654.3,1779.36,2260.34,1
30750,30750,30725,855.42,0,24483.78,24463.98,8870.67,12457.57,1
8000,8000,7250,259.57,0,7372.89,6680.88,5995.17,1264.39,1
7000,7000,550.0012066,229.91,3,2298.4,180.4,1715.03,583.37,1
3700,3700,3700,119.24,0,3924.74,3924.74,3230.13,582.04,1
8000,8000,8000,213.07,0,9935.75,9935.75,4962.32,4382.92,1
14500,14500,13360.82,510.32,3,7666.8,7181.76,3049.22,1776.16,1
20000,20000,19975,539.84,0,2156,2153.32,785.72,1370.28,1
3200,3200,3125.57,108.07,0,248.45,243.47,72.67,34.94,1
3200,3200,3200,104.75,0,1397.24,1397.24,948.49,304.5,1
10000,10000,10000,334.67,0,12112.68,12112.68,7130.67,1894.08,1
8400,8400,8350,276.94,3,3054.48,3036.35,2048.43,715.67,1
16000,16000,15050,562.52,0,5624.86,5290.27,3700.03,1911.67,1
4800,4800,4800,117.88,0,4007.79,4007.79,2228.98,1765.34,1
17000,17000,16975,423.78,0,11865.32,11847.94,6168.38,5681.78,1
6500,6500,6475,145.35,0,2340.27,2331.34,1354.52,950,1
15000,15000,14501.91253,488.4,0,1513.16,1496.71,1073.95,387.95,1
7500,6100,0,202.35,3,2428.09,0,1796.09,632,1
15600,15600,15600,312.52,0,13034.89,13034.89,9465.51,2720.74,1
2000,2000,2000,70.61,0,1550.6,1550.6,988.17,420.03,1
14400,14400,13400,313.02,0,14790.09,13762.91,363.32,261.66,1
6000,6000,6000,154.13,0,5456.63,5456.63,2510.74,2410.26,1
25000,25000,24842.45,818.38,0,20404.77,20281.34,17486.46,1856.91,1
5600,5600,5600,194.87,0,2935.12,2935.12,1874.82,846.6,1
16000,16000,3700.008685,541.89,3,12460.25,2879.14,9473.05,2987.2,1
6800,6800,4442.05,168.16,0,1004.4,1000.74,452.34,552.06,1
2000,2000,2000,66.42,0,2280.24,2280.24,1868.66,389,1
12300,12300,12275,308.94,0,6745.72,6732.07,3292.44,3438.32,1
1600,1600,1600,49.77,0,703.64,703.64,533.44,109.28,1
25000,25000,25000,870.68,0,26399.42,26399.42,19996.31,6116.89,1
20000,20000,19545.33804,691.75,0,12941.66,12284.66,8874.03,3577.02,1
5000,5000,5000,167.73,0,5025.25,5025.25,3858.78,985.63,1
3000,3000,2225,101.52,0,810.16,600.48,566.42,243.74,1
17000,17000,17000,564.57,0,12859.84,12859.84,9621.24,2787.84,1
12000,12000,12000,306.36,0,10537.42,10537.42,4772.55,4724.61,1
25000,25000,9949.995248,564.74,0,7728.38,3069.95,2490.25,2052.63,1
4000,4000,4000,133.26,0,1597.19,1597.19,1069.79,393.65,1
6000,6000,5975,205.38,0,4723.2,4703.6,3527.69,1182.71,1
5000,5000,5000,163.96,0,3261.69,3261.69,2419.97,679.69,1
14000,14000,8162.666447,477.06,0,5805.04,3396.39,3552.08,1703.9,1
25000,25000,24822.14041,684.66,0,12808.82,12385.37,4612.37,7025.45,1
11625,11625,4524.998766,409.16,3,2454,950.43,1566.9,887.1,1
8500,8500,8500,256.36,0,1792.77,1792.77,1545.1,247.67,1
5000,5000,5000,126.78,0,1591.39,1591.39,615.85,774.88,1
16000,10175,10150,229.91,0,12207.97,12178.04,9137.3,3043.37,1
14800,14800,14775,360.07,0,10441.43,10423.97,5688.35,4753.08,1
10000,10000,899.9942558,319.54,0,2609.48,234.74,1732.25,504.18,1
24000,24000,24000,888.14,0,7104.76,7104.76,4183.45,2911.51,1
10000,10000,9975,335.07,0,6986.34,6968.96,5010.6,1670.28,1
12000,12000,12000,417.34,0,13218.44,13218.44,9985.31,2952.23,1
22400,22400,3431.888687,766.73,0,9196.42,1409.53,6226.15,2970.27,1
7800,7800,7096.515433,258.68,0,4670.15,4244.6,3540.5,1097.3,1
12000,12000,454.6999336,406.07,0,3247.74,128.08,2270.63,977.11,1
4000,4000,4000,88.96,0,3705.2,3705.2,2312.34,1141.2,1
5000,5000,5000,176.51,0,3835.75,3835.75,2609.67,1088.97,1
12000,12000,12000,308.92,0,9187.2,9187.2,3881.97,4136.95,1
15850,15850,15325,519.94,0,11957.47,11561.41,9509.51,2447.96,1
8400,8400,8225,292.45,3,3464.21,3392.06,1935.5,1498.78,1
10000,10000,10000,311.8,0,5299.56,5299.56,4424.35,860.27,1
10000,10000,149.9949762,326.97,3,5642.35,83.89,2717.29,1074.3,1
9600,9600,9600,335.71,0,2345,2345,1530.88,814.12,1
18550,18550,18525,463.72,0,6933.65,6924.34,2780.23,3225.38,1
4000,4000,4000,137.86,0,3521.85,3521.85,2584.65,856.6,1
5000,5000,500.0094304,163.49,3,2922.3,291.22,2153.36,624.57,1
3000,3000,24.99979971,93.23,3,3291.93,27.3,2183.85,266.98,1
17475,12425,12425,309.73,0,6038.96,6038.96,3136.31,2887.24,1
12000,12000,11950,317.33,0,8543.51,8507.92,3273.36,4014.19,1
5000,5000,5000,175.69,0,1131.44,1131.44,559.39,317.06,1
15850,15850,15825,396.22,0,14575.26,14552.36,6468.14,6290.65,1
1500,1500,1500,49.46,0,1676.88,1676.88,1398.64,278.24,1
12000,12000,11925,385.14,0,3885.06,3860.84,2683.1,781.36,1
10000,10000,10000,303.27,0,5458.16,5458.16,4773.46,673.88,1
16000,16000,15750,390.03,0,8579.87,8445.34,4431.89,4147.98,1
4000,4000,3750,145.4,0,867.78,813.3,521.56,346.22,1
3500,3500,0,113.58,3,706.33,0,423.61,144.24,1
28000,28000,28000,876.13,0,9959.66,9959.66,7125.17,1634.43,1
15000,15000,14775,492.06,0,3444,3392.34,2539.49,904.51,1
8000,8000,7875,189.61,3,2396.65,2359.16,1059.9,1021.3,1
20000,20000,19900,531.66,3,8203.99,8162.98,3050.97,4371.69,1
12000,12000,11950,415.74,0,2154.02,2145.08,1082.48,577.08,1
29700,29700,29675,742.45,0,9651.58,9643.51,4462.18,5176.67,1
4000,4000,4000,124.45,0,2607.36,2607.36,2218.55,388.81,1
3600,3600,3075.004872,123.36,3,3506.98,2993.86,2653.89,787.31,1
12000,12000,12000,373.33,0,3531.72,3531.72,2435.23,547.09,1
10000,10000,9950,311.11,0,2247.21,2235.98,1509.91,350.87,1
5725,5725,5725,197.88,0,2157.23,2157.23,1341.45,633.23,1
5000,5000,4750,168.62,0,2703.56,2568.06,1845.31,677.69,1
1800,1800,1800,61.6,0,1896.74,1896.74,1440.49,403.81,1
19750,19750,3860.24838,676.02,0,6039.65,1043.73,2266.21,1113.11,1
5000,5000,5000,129.13,0,128.44,128.44,50.57,77.87,1
19400,19400,19400,517.23,0,14420.39,14420.39,5526.85,6885.3,1
21250,21250,19521.68646,471.2,0,7066.2,5566.59,4186.78,2857.82,1
25000,25000,24025,870.39,0,1970.37,1893.52,551.41,318.8,1
25000,25000,24975,638.25,0,25371.1,25345.89,12622.02,10993.23,1
20500,20500,1349.997217,671.44,0,8837.67,579.11,6095.77,2060.18,1
29700,29700,26779.036,710.94,0,13431.95,7829.21,6262.99,5806.5,1
12800,12800,12800,329.51,0,4940.98,4940.98,2180.53,2744.27,1
6000,6000,5750,196.41,0,1931.27,1850.52,1274.93,492.17,1
5000,5000,5000,108.09,0,5191.33,5191.33,147.15,259.91,1
10625,10625,10625,351.44,0,11441.01,11441.01,9235.98,1988.52,1
3000,3000,3000,102.93,0,2357.5,2357.5,1759.72,597.78,1
16000,16000,15950,391.82,0,13434.63,13392.72,7181.96,5723.68,1
12000,12000,12000,411.71,0,14285.06,14285.06,11170.88,2806.72,1
11300,11300,11050,257.06,0,9254.16,9048.35,5857.52,3338.14,1
6000,6000,6000,195.44,0,4652,4652,3433.82,861.02,1
5000,5000,5000,172.21,0,1393.23,1393.23,809.57,394.71,1
5000,5000,5000,125.59,0,6545.68,6545.68,4031.72,2484.39,1
12000,12000,12000,258.47,0,13187.14,13187.14,9752.57,3403.07,1
4000,4000,4000,144.47,0,3028.2,3028.2,2067.61,960.59,1
10000,10000,10000,216.13,0,10586.08,10586.08,7742.54,2843.54,1
4000,4000,4000,107.97,0,3996.02,3996.02,1751.48,1905.5,1
4000,4000,4000,93.64,0,3080.86,3080.86,1402.66,1235.56,1
24575,24575,24550,663.32,0,7252.13,7244.79,2269.84,3690.86,1
5400,5400,5400,184.54,0,4059.43,4059.43,3020.36,1027.64,1
3250,3250,3250,111.64,0,222.04,222.04,145.61,76.43,1
20250,20250,20225,547.72,0,3276.6,3272.58,1209.47,2067.13,1
3600,3600,3600,83.73,3,2507.4,2507.4,1487.76,1019.64,1
25000,25000,22975,809.62,0,14572.01,13388.4,11512.64,3059.37,1
30000,30000,29575,847.96,0,7810.5,7699.64,1687.56,4490.06,1
1800,1800,1800,61.08,0,1092,1092,755.98,276.26,1
15000,15000,14925,532.53,0,17156.69,17071.4,12925.29,4115.29,1
16000,16000,16000,398.85,0,1195.17,1195.17,517.69,677.48,1
16000,11225,11225,255.35,0,3856.3,3856.3,1849.31,1455.55,1
7150,7150,7150,251.34,0,3517.62,3517.62,2375.05,1129.57,1
2500,2500,2450,83.77,3,761.67,746.43,460.45,192.13,1
1550,1550,1550,48.21,0,1397.39,1397.39,1124.52,171.48,1
7000,7000,7000,175.82,0,659.15,659.15,147.9,201.94,1
18000,11225,10975,275.91,0,3646.41,3564.93,1569.36,1728.72,1
1500,1500,1500,52.7,3,1036.28,1036.28,617.92,275.28,1
20500,20500,20450,442.15,0,21223.2,21171.55,15461.81,5720.02,1
30000,30000,29790.11057,789.66,0,12511.05,12095.44,4622.88,6409.64,1
5400,5400,5400,121.99,0,1697.92,1697.92,968.5,729.42,1
2950,2950,2950,105.9,0,1374.84,1374.84,815.16,450.98,1
8000,8000,7758.738953,156.68,0,6774.93,6451.41,5100.51,1283.35,1
8875,8875,8875,288.84,0,7639.15,7639.15,5838.93,1358.97,1
6000,6000,6000,208.67,0,5515.95,5515.95,3853.78,1340.72,1
11875,11875,11875,268.32,0,1185.35,1185.35,285.76,248.58,1
15000,15000,14875,488.4,0,14813.6,14690.19,12138.57,2512.7,1
2250,2250,2250,78.69,0,470.34,470.34,305.06,165.28,1
14000,14000,9263.044633,480.29,0,5890.82,3907.08,3653.81,1618.59,1
6500,6500,6050,207.66,0,4919.44,4577.71,3923.8,830.53,1
22575,22575,22375,609.34,0,8529.18,8453.72,3390,5124.1,1
1000,1000,1000,34.53,0,536.5,536.5,428.11,82.39,1
8200,8200,8200,202.78,0,3033.4,3033.4,1240.19,1380.22,1
6000,6000,5257.01,198.99,0,594.03,529.41,420.63,173.4,1
7800,7800,7675,186.39,3,3881.01,3818.84,1858.74,1664.62,1
5000,5000,4975,162.21,0,380.87,378.97,118.87,43.16,1
2800,2800,2800,89.87,3,1166.23,1166.23,917.99,248.24,1
30000,30000,29937.86648,822.95,0,29013.36,28930.78,12021.24,14359.92,1
6500,6500,6450,141.72,0,2005.71,1990.24,1040.47,719.77,1
10000,10000,10000,315.63,0,8522.01,8522.01,7245.81,1262.7,1
30000,18850,18700,496.17,0,10002.35,9922.75,3638.12,5470.88,1
4000,4000,4000,134.18,0,2022.66,2022.66,1373.86,498.22,1
7100,7100,7100,219.2,0,5513.25,5513.25,4434.28,716.57,1
6000,6000,5725,198.81,0,990.8,945.35,709.84,280.96,1
8000,8000,8000,290.79,0,3822.6,3822.6,2188.08,1291.38,1
4000,4000,4000,102.98,0,1230.96,1230.96,532.21,698.75,1
5000,4150,0,134.67,0,2962.3,0,2381.25,581.05,1
12000,12000,12000,386.7,0,11234.49,11234.49,9011.72,1807.88,1
18000,18000,2050.001548,608.58,0,17293.35,1962.1,13351.85,3732.14,1
20000,20000,17229.00113,438.45,0,11090.36,6752.75,7008.63,4081.73,1
9500,9500,9475,203.63,0,2604.39,2597.58,1390.24,841.55,1
2400,2400,2400,59.25,3,311.9,311.9,63.35,99.02,1
7500,7500,450.0014442,240.74,3,3129.18,187.51,2419.58,709.6,1
29000,29000,29000,651.27,0,14318.48,14318.48,8619.3,5699.18,1
35000,35000,34460.11,913.52,0,1825.68,1823.08,706.9,1118.78,1
24000,24000,23975,602.81,0,3131.93,3128.69,768.09,1035.51,1
6000,6000,2474.999014,200.32,3,5400.54,2223.18,4280.18,1120.36,1
20000,20000,19975,474.86,0,23742.3,23712.71,14722.89,8046.39,1
18000,18000,16317.66,610.64,0,11601.95,11569.74,8571.13,3030.82,1
8000,8000,7975,204.85,0,761.97,759.59,165.74,243.9,1
6000,6000,6000,150.77,0,6784.65,6784.65,3799.76,2966.41,1
18825,18825,18825,432.49,0,12972.5,12972.5,7816.28,5156.22,1
8550,8550,1732.682948,293.47,0,293.23,145.65,191.43,101.8,1
14125,14125,14100,369.69,7,19551.97,19517.4,11678.02,7873.95,1
17625,17625,17625,469.91,0,937.4,937.4,345.52,591.88,1
12000,12000,12000,248.52,0,5218.7,5218.7,3583.71,1634.99,1
12000,12000,11944.87215,421.89,0,10968.79,10915.38,8059.65,2888.95,1
5000,5000,5000,165.38,0,1725.01,1725.01,1087.82,397.64,1
9000,9000,8987.33034,302.7,0,6356.48,6339.69,4762.68,1578.68,1
35000,35000,2525.003919,850.95,0,5952.8,426.02,2800.25,3152.55,1
24000,24000,23950,542.28,0,16810.68,16775.85,10495.5,6285.28,1
11100,11100,11100,269.7,0,10557.8,10557.8,5551.93,4182.73,1
4000,4000,4000,137.61,0,1788.8,1788.8,1250.1,538.7,1
7750,7750,7250,251.46,0,1320.96,1235.68,746.51,258.25,1
5000,5000,4900,156.41,0,2658.04,2604.89,2073.26,423.86,1
4000,4000,4000,137.24,0,4201.16,4201.16,2874.44,944.49,1
4000,4000,3975,101.32,0,1310.32,1302.14,492.73,617.39,1
1500,1500,1500,36.87,8,1986.78,1986.78,1286.87,699.91,1
5000,5000,5000,153.34,0,3926.22,3926.22,3351.62,465.75,1
5600,5600,1549.998789,191.59,3,2107.91,582.45,1326.55,587.45,1
3000,3000,3000,101.17,0,1622.11,1622.11,1107.17,406.63,1
20000,20000,19900,533.23,0,9164.11,9118.22,1868.34,2907.15,1
10175,10175,10175,342.79,0,9083.54,9083.54,6622.57,1931.06,1
13200,13200,13200,309,0,4942.18,4942.18,2651.44,2273.04,1
2800,2800,2800,64.42,8,3546.1,3546.1,2478.77,1052.33,1
17600,17600,17600,597.18,0,3106.21,3106.21,1617.48,761,1
20000,20000,19975,510.6,0,13804.57,13787.45,5611.13,6130.48,1
11500,11500,11500,379.17,0,7174.92,7174.92,5251.13,1564.93,1
8000,8000,7850,186.07,0,1631.53,1600.96,672.24,628.29,1
9000,9000,9000,276.34,0,7443.39,7443.39,5793.8,831.16,1
2400,2400,2400,59.42,0,922.34,922.34,440.4,376.64,1
20000,20000,18699.78718,444.79,0,8005.92,6136.82,4794.26,3195.04,1
18000,18000,18000,446.29,0,13387.25,13387.25,7114.01,6273.24,1
8000,8000,8000,281.22,0,3972.4,3972.4,2448.38,1189.15,1
6000,6000,5901.176494,190.63,0,5337,5216.35,4514.92,810.96,1
22750,22750,22725,585.41,0,2967.76,2964.52,1196.26,1743.39,1
7000,7000,7000,233.91,0,2418.12,2418.12,1513.22,589.81,1
2200,2200,2200,68.23,0,1161.97,1161.97,916,172.57,1
16000,16000,15825,357.78,0,14625,14465.13,10045.35,4579.65,1
5000,5000,4175,170.87,0,282.88,236.2,0,0,1
4500,4500,4500,150.6,0,2531.22,2531.22,1791.03,614.09,1
25000,25000,24900,628.87,0,11810.66,11763.33,4035.18,4768.21,1
22750,22750,22750,514.03,0,10241.21,10241.21,5385.24,3858.3,1
12000,12000,11512.4,396.17,0,3048.72,2940.58,1982.42,1066.3,1
12000,12000,6674.991994,388.34,0,5097.75,2831.11,3909.83,1168.71,1
7000,7000,7000,160.82,0,4764.4,4764.4,2685.94,1808.49,1
25000,25000,274.9919893,798.84,0,12982.48,141.65,10210.53,2771.95,1
5000,5000,4988.994905,158.06,0,3002,2988.57,2477.95,524.05,1
8000,8000,7800.00485,295.18,3,5610.25,5470.02,2152.91,1369.28,1
11500,11500,10929.2003,373.02,0,2319.92,1548.77,1392.07,472.43,1
10000,10000,10000,360.93,0,11747.07,11747.07,8592.14,2935.22,1
6000,6000,5997.175128,117.51,0,4379.29,4375.45,3152.38,842.49,1
16000,10050,10050,249.18,0,1238.35,1238.35,550.65,687.7,1
7500,7500,2350.003594,241.16,3,3613.95,1130.1,2859.08,754.87,1
25000,16200,16175,445.04,0,4893.66,4886.17,1821.93,3061.08,1
2500,2500,2500,61.23,3,652.38,652.38,243.04,291.28,1
4400,4400,3999.03,145.93,0,4042.39,3511.83,2946.41,830.5,1
12000,9925,9925,247.68,3,4704.88,4704.88,2279.72,2414.8,1
15200,15200,13157.72,518.38,0,3196.71,2839.89,1752.7,835.95,1
15000,15000,14875,377.33,0,8676.87,8604.6,4261.32,4415.55,1
30000,30000,30000,1049.1,0,32348.5,32348.5,23937.78,7490.23,1
8000,8000,7850,271.4,0,8392.02,8234.37,6957.92,1434.1,1
1000,1000,1000,33.21,0,220.62,220.62,118.4,47.6,1
12000,12000,12000,402.54,0,3778.37,3778.37,2281.49,928.99,1
4000,4000,4000,108.71,0,927.85,927.85,278.09,476.72,1
8000,8000,7690.635684,269.96,0,6126.04,6075.66,4505.93,1423.95,1
12000,12000,12000,306.36,0,9667.95,9667.95,4264.3,4313.78,1
9000,9000,9000,284.07,0,4036.37,4036.37,2978.92,700.34,1
18000,18000,17975,475.99,0,17604.91,17580.48,8957.28,8647.63,1
6000,6000,6000,132.59,0,2514.92,2514.92,1358.51,889.91,1
10500,10500,7607.64,366.98,0,733.18,731.44,463.81,269.37,1
22750,22750,9625.000605,589.03,0,6225.06,2629.48,2207.45,3086.62,1
10000,10000,9925,229.33,0,3946.4,3916.85,2046.44,1606.84,1
35000,35000,34975,973.64,0,41927.68,41897.86,18860.53,20071.29,1
5000,5000,1425,171.5,3,3612.78,1028.69,1175.23,538.39,1
6050,6050,3075.001212,203.82,3,4968.56,2523.07,3885.32,1083.24,1
14800,14800,14696.21342,515.27,0,5083.79,5043.11,2290.07,2204.15,1
12000,12000,11950,301.86,0,3694.45,3679.03,1243.15,1966.36,1
21500,21500,19604.54074,662.98,0,11268.79,8984.64,9599.05,1669.74,1
21000,21000,21000,528.48,0,13333.83,13333.83,5177.35,5917.99,1
6000,6000,6000,198.46,0,989.95,989.95,711.65,278.3,1
9000,9000,6899.998491,312.23,0,4991.04,3825.92,3504.43,1486.61,1
2500,2500,2250,78.91,0,860.08,773.87,450.21,116.95,1
10000,10000,9875,348.16,3,8666.62,8558.41,6278.03,2388.59,1
8000,8000,7946.71286,171.48,0,5073.71,5036.87,3206.32,1594.17,1
10000,10000,10000,339.31,0,4749.77,4749.77,3411.93,1328.05,1
4000,4000,4000,136.92,3,2868.39,2868.39,2122.16,746.23,1
10000,10000,9175,337.71,0,5648.19,5181.62,3417.57,1300.1,1
14750,14750,14725,325.95,0,3383.94,3378.22,1700.41,1227.74,1
7000,7000,6975,227.82,0,5001.74,4983.91,3216.56,874.84,1
15000,15000,14725,466.53,0,14779.65,14508.66,12689.91,1748.96,1
4000,4000,3977.31,134.26,0,715.06,714.03,370.97,164.29,1
20000,20000,10450.00278,726.67,3,14993.27,7825.37,9741.33,4769.87,1
7200,7200,7150,227.26,0,7792.72,7738.93,6725.42,972.13,1
5000,5000,5000,161.34,0,4037.9,4037.9,2978.3,838.63,1
13750,13750,13625,302.33,0,12855.79,12739.13,8180.47,3852.63,1
5000,5000,350,164.98,3,1501.19,104.6,966.58,352.34,1
13000,13000,12975,421.01,0,13445.11,13419.41,11514.75,1930.36,1
8000,8000,8000,274.45,0,1370.05,1370.05,916.9,453.15,1
4600,4600,4600,117.79,0,855.91,855.91,174.52,413.29,1
10200,10200,10200,330.91,0,1983.06,1983.06,1486.62,496.44,1
3600,3600,3600,126.61,0,1539.96,1539.96,904.43,466.21,1
12300,12300,12300,382.67,0,12125.52,12125.52,10411.99,1438.82,1
7100,7100,7100,181.27,0,3764.36,3764.36,1509.66,1920.97,1
35000,21350,21325,573.04,0,8501.23,8491.29,2973.35,4472.53,1
16800,16800,16800,415.45,0,7427.22,7427.22,3206.65,3424.55,1
12000,12000,11975,259.36,0,1800.54,1796.79,773.05,522.95,1
12000,12000,12000,411.71,0,4241.16,4241.16,2534.26,1163.48,1
5000,5000,5000,174.76,0,2562.63,2562.63,1541.05,725.5,1
